ID,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated,Genre
14533,"Maas, Sarah J.",A Court of Thorns and Roses,A Court of Thorns and Roses,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Banned/Removed,,,School,10,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Blessing and cursing,Children's audiobooks,Children's fiction,Courts ect.,Faerie,Fairies,Fairies, fiction,Fantasy,Fantasy fiction,Fiction,Juvenile fiction,Juvenile works,Kärlek,Love,Love stories,Love, fiction,Magi,Magic,Man-woman relationships,New York Times bestseller,Romance,Teen fiction,Young adult fiction,Young adult works,collectionID:AlpineChallenge,collectionID:ConroeChallenge,collectionID:EanesChallenge,nyt:young-adult-paperback=2016-05-22,nyt:young-adult=2015-05-24,series:A_Court_of_Thorns_and_Roses,Älvor"
14534,"Maas, Sarah J.",A Court of Wings and Ruin,A Court of Thorns and Roses,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Banned/Removed,,,School,10,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Children's fiction,Deception,Fairies,Fairies, fiction,Fairy tales,Fantasy,Fantasy fiction,Fiction,Imaginary wars and battles,Juvenile fiction,New York Times bestseller,Spies,Spy stories,War stories,Women spies,collectionID:AlpineChallenge,collectionID:EanesChallenge,nyt:series-books=2017-05-21,series:A_Court_of_Thorns_and_Roses"
14535,"Martin, George R. R.",A Game of Thrones,A Song of Ice and Fire,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,11,2023,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Action & Adventure,American Fantasy fiction,Betrayal,Bien y mal,Civil war,Civil war -- Fiction,Coloring books,Courts and courtiers,Dragons,Epic,Ficción,Fiction, fantasy, epic,Fiction, fantasy, general,Guerras imaginarias,Hugo Award Winner,Ignotus Award winner,Invierno,Kings and rulers -- Fiction,Locus Award winner,New York Times bestseller,Science Fiction,Seven kingdoms (Imaginary place),Seven kingdoms (imaginary place), fiction,Spanish fiction,Trial by combat,Voyages and travels,epic fantasy,epic fiction,epic literature,fantastic fiction,fantasy,fantasy fiction,fiction,folk healers,good and evil,imaginary places,imaginary wars and battles,kings and rulers,magic,nyt:trade_fiction_paperback=2011-09-10,penal colonies,persistent vegetative states,seasons,walls,wights,winter"
14536,"Dugard, Jaycee",A Stolen Life,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,7,2023,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Biography,California, biography,Kidnapping,Kidnapping victims,Kidnapping, 1991,New York Times bestseller,New York Times reviewed,Seihanzai,Sexually abused children,Victims of crimes,Women, united states, biography,Yukai,nyt:e-book_nonfiction=2011-07-09"
14537,"Jackson, Tiffany D.",Allegedly,,,,Formal,Affiliation Unknown,Off Shelves,,Retained/Restricted,Yes,Restricted to HS,School,4,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"African American teenagers,Children's fiction,Fiction,Group homes,Investigation,Mothers and daughters,Murder,Pregnant teenagers,Readers,collectionID:EanesChallenge"
14538,"Katcher, Brian",Almost Perfect,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,4,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Amistad,Children's fiction,Dating (Social customs),Dating (social customs), fiction,Escuelas,Escuelas secundarias,Familias de un solo padre,Fiction,Friendship,Friendship in fiction,Friendship, fiction,High schools,High schools in fiction,Identidad (Concepto filosófico),Identity,Identity (Philosophical concept),Identity in fiction,Identity, fiction,Individuality,Juvenile Fiction,Juvenile fiction,LGBT,LGBTQ gender identity,Missouri in fiction,Missouri, fiction,Novela,Noviazgo (Costumbres sociales),School stories,Schools,Schools in fiction,Schools, fiction,Single-parent families,Single-parent families in fiction,Single-parent families, fiction,Stonewall Book Awards,Transgender people,Transgender people in fiction,Transgénero,collectionID:AlpineChallenge,growing up,relationships,transgender"
14539,"Rennison, Louise","Angus, Thongs and Full-Frontal Snogging",Confessions of Georgia Nicolson,,,Formal,Affiliation Unknown,Off Shelves,,Retained/Restricted,Yes,Restricted to HS,School,4,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Adolescence, fiction,Children's fiction,Diaries,Diaries in fiction,Diaries, fiction,England in fiction,England, fiction,Fiction,Georgia Nicolson (Fictitious character),Girls,Humorous fiction,Humorous stories,Juvenile fiction,Teenage girls,Teenage girls in fiction,Teenagers,Young adult fiction,collectionID:AlpineChallenge,collectionID:bannedbooks"
14540,"Reed, Amy",Beautiful,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,4,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Children's fiction,Drug abuse,Drug abuse, fiction,Emotional problems,Emotions, fiction,Family life, fiction,Family problems,Fiction,Seattle (wash.), fiction,Self-esteem,Self-esteem, fiction,Sex,Sex, fiction"
14541,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,4,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,Unknown
14542,"Thompson, Craig",Blankets,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,7,2023,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"741.5/973,Brothers,Brothers, fiction,Brothers--comic books, strips, etc,Comic books, strips,Comics & graphic novels, general,Comics & graphic novels, nonfiction, biography & memoir,Coming of age,Coming of age--comic books, strips, etc,Families,Families--comic books, strips, etc,First loves,First loves--comic books, strips, etc,New York Times bestseller,Pn6727.t48 b58 2003,Sibling rivalry,Sibling rivalry--comic books, strips, etc,Teenage artists,Teenage artists--comic books, strips, etc,Teenage boys,Teenage boys--comic books, strips, etc,Wisconsin, fiction,bildungsroman,collectionID:EanesChallenge,first love"
14543,"Myers, Jason",Blazed,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,7,2023,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Children's fiction,Dysfunctional families,Family problems,Fathers and sons,Fathers and sons, fiction,Fiction,Juvenile fiction,Manic-depressive illness,Mothers and sons,Mothers and sons, fiction"
14544,"Bagieu, Pénélope",Brazen: Rebel Ladies Who Rocked the World,,,,Formal,Affiliation Unknown,Off Shelves,,Retained,,,School,4,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,Unknown
14545,"Niven, Jennifer",Breathless,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Banned/Removed,,,School,4,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Children's fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge"
14546,"Aciman, André",Call Me By Your Name,Call Me By Your Name,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,3,2023,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Adolescents homosexuel,Authors,Authors, fiction,Boys and men,Coming of age,Fear,Fiction,Fiction, coming of age,Fiction, gay,Fiction, lgbtq+, gay,Fiction, romance, contemporary,Garcons adolescents,Gay men, fiction,Gay teenagers,Italy,Italy, fiction,LGBT,LGBTQ novels,Lambda Literary Award Winner,Lambda Literary Awards,Love,New York Times bestseller,Romance,Romans, nouvelles,Summer,Teenage boys,cmbyn,gay,northern Italy,nyt:trade-fiction-paperback=2018-01-21,teen romance"
14547,"Hopkins, Ellen",Crank,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,4,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Abuso de drogas,Addiction,Children's fiction,Cocaine abuse,Crank,Drug abuse,Drug abuse, fiction,Dysfunctional families,Embarazo,Escuelas,Escuelas secundarias,Family life, fiction,Family problems,Family, fiction,Ficción juvenil,Fiction,High schools,Ice (Drug),Juvenile fiction,Pregnancy,Pregnancy, fiction,Recaudación cocaína,Schools,Schools, fiction,Spanish language materials,Substance abuse,Substance abuse, fiction,Teenagers,collectionID:AlpineChallenge,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:bannedbooks"
14548,"Arnold, Elana K.",Damsel,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Banned/Removed,,,School,4,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Children's fiction,Dragons,Dragons, fiction,Fantasy,Fantasy fiction,Fiction,Juvenile fiction,Legends,Magic,Princes,collectionID:AlpineChallenge,collectionID:ConroeChallenge"
14549,"Stassen, Jean-Philippe",Deogratias: A Tale of Rwanda,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Banned/Removed,,,School,10,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Comics & graphic novels, general,Crimes against,Fiction,Genocide,Hutu (African people),Psychology,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Teenage boys,Tutsi (African people),Young adult fiction"
14550,"García, Cristina",Dreaming in Cuban,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,10,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Brooklyn (New York, N.Y.),Cuba, fiction,Cuban Americans,Cuban americans, fiction,Cubanos,Cubans,Ficción,Fiction,Fiction, general,Madres e hijas,Mothers and daughters,Mothers and daughters, fiction,New york (n.y.), fiction,collectionID:EanesChallenge,collectionID:bannedbooks"
14551,"Rowell, Rainbow",Eleanor & Park,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,4,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"American Romance fiction,Amours,Audiobooks,Bullying,Comic books, strips,Dating,Dating (Social customs),Différence (philosophie),Escuelas,Escuelas secundarias,Family,Ficción juvenil,Fiction,First loves,Harcèlement,High schools,Histoires d'amour,History,JUVENILE FICTION,JUVENILE FICTION / Love & Romance,Large type books,Love,Love & Romance,Love stories,Man-woman relationships,New York Times bestseller,New York Times reviewed,Noviazgo,Relations entre hommes et femmes,Roman adolescent anglais,Roman d'amour,Romance fiction,Romance-language fiction,Romans, nouvelles,Romans, nouvelles, etc. pour la jeunesse,Schools,Siblings,Spanish language materials,Teenage literature,Teenagers,Young adult fiction, romance, contemporary,Young adult fiction, social themes, bullying,Young adult fiction, social themes, physical & emotional abuse,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,friendship,nyt:young-adult-hardcover=2015-08-30,nyt:young-adult=2013-03-31,Écoles,Écoles secondaires"
14552,"Maas, Sarah J.",Empire of Storms,,,,Formal,Affiliation Unknown,Off Shelves,,Retained/Restricted,Yes,Restricted to HS,School,10,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Assassins,Children's fiction,Court,Fantasy,Fantasy fiction,Fiction,High Fantasy,JUVENILE FICTION / Action & Adventure / General,JUVENILE FICTION / Fantasy & Magic,JUVENILE FICTION / Love & Romance,Juvenile fiction,Kings, queens, rulers,Kings, queens, rulers, etc., fiction,Love,Love, fiction,Magic,Queens,Quest,Romance,Royalty,YA,[series:Throne_of_Glass],collectionID:EanesChallenge"
14553,"Curato, Mike",Flamer,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,12,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Adolescents,Adolescents homosexuels,Asian American LGBTQ+ people,Aspect religieux,Bandes dessinées,Boy Scouts of America,Bullying,Camps,Catholic Church,Closeted gays,Colonies de vacances,Comic books, strips,Coming out (Sexual orientation),Comportement suicidaire,Fiction,Gay teenagers,Homosexuels dans le placard,Identity (Psychology),Identité (Psychologie),Infatuation,Intimidation,Juvenile fiction,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Moi (Psychologie),Romans, nouvelles, etc. pour la jeunesse,Self,Sortir du placard (Homosexualité),Suicidal behavior,Teenagers,collectionID:AlpineChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,Église catholique"
14554,"Blume, Judy",Forever…,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,4,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Attitudes,Children's fiction,Dating (social customs), fiction,Family life,Family life in fiction,Fiction,Fiction in English,Fiction, general,First loves,Free love,High school students,High schools,High schools in fiction,History,Juvenile fiction,Love,Love in fiction,Love, fiction,New Jersey in fiction,Pregnancy,Pregnancy in fiction,Schools,Schools in fiction,Sex,Sex in fiction,Sexual behavior,Sexual ethics,Teenagers,Teenagers in fiction,Youth,birth control,collectionID:AlpineChallenge,homosexuality"
14555,"Kobabe, Maia",Gender Queer: A Memoir,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Banned/Removed,,,School,1,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,Unknown
14556,"Adichie, Chimamanda Ngozi",Half of a Yellow Sun,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Banned/Removed,,,School,10,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"823.92,Anisfield-Wolf Book Award winner,Biafrakonflikt,Civil War,Civil War (Nigeria : 1967-1970) fast (OCoLC)fst01352311,Fiction,Fiction, historical,Fiction, historical, general,Fiction, political,Fiction, war & military,History,Large type books,Modern Literature,New York Times reviewed,Nigeria, fiction,Orange Broadband Prize winner,PEN/Open Book Award winner,Politics and government,Social aspects,Women’s Prize for Fiction winner,historical fiction,literary fiction,military fiction,political fiction,war"
14557,"Hoover, Colleen",Heart Bones,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,3,2023,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"New York Times bestseller,nyt:combined-print-and-e-book-fiction=2023-02-19"
14558,"Oseman, Alice","Heartstopper, Vol. 1",Heartstopper,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,4,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,Unknown
14559,"Oseman, Alice","Heartstopper, Vol. 2",Heartstopper,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,4,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,Unknown
14560,"Oseman, Alice","Heartstopper, Vol. 3",Heartstopper,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,4,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,Unknown
14561,"Oseman, Alice","Heartstopper, Vol. 4",Heartstopper,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,4,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,Unknown
14562,"McGinnis, Mindy",Heroine,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,11,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Baseball, fiction,Children's fiction,Girls, fiction"
14563,"Gyasi, Yaa",Homegoing,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,11,2023,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"African American,African American Fiction,African American Historical Fiction,African Americans,African american,African american historical fiction,African americans,African americans, fiction,Enslaved persons, fiction,FICTION,FICTION / African American / Historical,FICTION / Literary,FICTION / Sagas,Fiction,Fiction / african american / historical,Fiction / literary,Fiction / sagas,Fiction, african american & black, historical,Fiction, african american, historical,General,Historical,Historical fiction,History,LGBTQ historical fiction,Large type books,Lgbtq historical fiction,Literary,Literary fiction,Literature,New York Times bestseller,New York Times reviewed,New york times bestseller,New york times reviewed,Nyt:hardcover-fiction=2016-06-26,Saga,Sagas,Slavery,Slaves, fiction,Women,collectionID:EanesChallenge,collectionID:bannedbooks,historical fiction,history,literary fiction,nyt:hardcover-fiction=2016-06-26,saga,slavery,women"
14564,"Maas, Sarah J.",House of Earth and Blood,Crescent City,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,11,2023,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,Unknown
14565,"Maas, Sarah J.",House of Sky and Breath,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Banned/Removed,,,School,10,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"American literature,Amitié,Angels,Anges,Assassins,Ethics,FICTION / Fantasy / Action & Adventure,FICTION / Fantasy / Romance,FICTION / Fantasy / Urban,Fairies,Fellowship,Fiction,Friendship,Fées,Geographical myths,Insurgency,Magic,Morale,Romans, nouvelles,Récits de guerre,War stories,[series:SJM_Crescent:City]"
14566,"Hopper, Laura",I Never,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,10,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Best friends,Bildungsromans,Children's fiction,Coming of age,Dating (Social customs),Dating (social customs), fiction,Family problems,Family, fiction,Fiction,Friendship,Friendship, fiction,High schools,Juvenile fiction,Schools,Schools, fiction,Sex,Sex, fiction"
14567,"Hopkins, Ellen",Identical,,,,Formal,Affiliation Unknown,Off Shelves,Possible SENSITIVE MATERIALS CHALLENGE - unclear.,Still in Process,,,School,10,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"California, fiction,Child sexual abuse, fiction,Children's fiction,Emotional problems,Emotions,Emotions, fiction,Families,Family life, fiction,Family problems,Fiction,Juvenile fiction,New York Times bestseller,Novels in verse,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 9,Secrecy,Secrets,Sexual abuse,Sexual abuse victims,Sisters,Sisters, fiction,Twins,Twins, fiction,collectionID:EanesChallenge,nyt:chapter-books=2008-09-14"
14568,"Hopkins, Ellen",Impulse,Impulse,,,Formal,Affiliation Unknown,Off Shelves,,Retained/Restricted,Yes,Restricted Secondary,School,4,2022,UT,Granite School District,,,,,,,02/20/2024,https://docs.google.com/spreadsheets/d/e/2PACX-1vS6aiUybYmYhuJXiCCbRsm1G28Io8btn7dP1XQPAjXokBiyCcR_QwDV4ikdkc0-Iqk7Z_I5nuq0s20Q/pubhtml,,,,,"Children's fiction,Fiction,Hospitals, fiction,Interpersonal relations,Interpersonal relations, fiction,Juvenile fiction,Mental illness,Mental illness, fiction,New York Times bestseller,Novels in verse,Psychiatric hospitals,Stories in rhyme,Suicide,Suicide, fiction,collectionID:AlpineChallenge,collectionID:ConroeChallenge,collectionID:EanesChallenge,nyt:paperback-books=2008-06-08"
